house_type;house_zip_code;house_rooms;house_square_meters;house_year;house_taxes;house_energy;house_ground_area;house_price
Villa;6760;6;130;63;2015;D;19995;1748000;
Villa;6862;4;169;45;1855;C;1255;1395000;
Villa;6731;8;290;84;2255;B;2069;2298000;
Villa;6900;6;242;52;2154;C;769;1750000;
Villa;8600;7;188;18;3584;C;1090;4050000;
Villa;7430;3;83;68;1934;E;800;1785000;
Ejerlejlighed;2665;2;49;55;1747;D;119350;1449000;
Villa;3320;5;158;15;3325;C;1006;4100000;
Villa;4241;4;158;116;1884;C;894;1450000;
Ejerlejlighed;2450;2;59;1;2458;A15;14237;4150000;
Villa;5690;4;125;49;1772;D;805;1475000;
Villa;8410;7;257;20;2554;B;3387;4195000;
Villa;2990;6;173;55;4065;C;933;4250000;
Villa;9970;6;189;55;1864;D;800;1495000;
Villa;9400;6;167;1;3238;A15;693;4395000;
Villa;4800;4;126;74;1910;C;664;1495000;
Villa;8464;5;187;8;2713;A1;1001;4398000;
Villa;7700;4;171;86;1608;E;426;1495000;
Villa;4293;5;133;44;2130;D;935;1525000;
Villa;4540;6;170;52;2267;D;697;1545000;
Villa;2800;5;128;58;4511;D;787;4495000;
Villa;8830;3;149;121;2359;D;5036;1595000;
Villa;3390;3;85;56;2575;E;760;1595000;
Villa;4262;6;296;126;2690;E;1089;1595000;
Villa;4780;5;144;121;1824;C;333;1595000;
Villa;4700;2;92;66;1847;F;2875;1625000;
Rækkehus;8850;4;98;0;2393;A20;249;1645000;
Villa;8850;4;98;0;2396;A20;248;1645000;
Villa;7620;5;145;42;1947;C;1042;1675000;
Villa;7100;3;88;71;2034;E;355;1675000;
Villa;7100;4;100;73;1824;D;1360;1695000;
Villa;5330;6;141;93;2425;D;1149;1695000;
Villa;5932;2;85;121;857;D;248;398000;
Villa;7400;6;183;57;2085;C;788;1695000;
Villa;6780;5;156;84;1212;D;675;398000;
Villa;6630;4;102;72;1130;G;554;425000;
Villa;9490;4;110;59;1158;E;947;495000;
Villa;8420;3;131;156;1003;E;560;598000;
Villa;8740;2;72;70;1621;F;880;598000;
Villa;7260;4;108;54;1139;E;865;625000;
Villa;6940;4;102;61;1286;D;1000;698000;
Villa;9850;3;105;79;1399;C;767;745000;
Villa;9900;3;104;57;1375;D;2405;775000;
Villa;6520;4;130;57;1377;D;582;795000;
Villa;9330;3;88;72;1691;C;972;795000;
Villa;8920;5;173;48;2904;D;851;2295000;
Rækkehus;5210;5;98;58;1914;C;243;2295000;
Villa;9990;5;114;51;1858;F;623;2295000;
Rækkehus;7400;4;121;0;2825;A15;407;2345000;
Villa;4420;4;131;42;2038;C;735;2375000;
Villa;3200;4;137;42;3234;D;1397;2395000;
Villa;6760;4;128;0;2408;A20;504;2448000;
Villa;7330;7;184;48;1984;D;864;2450000;
Villa;8930;6;153;113;2227;D;788;2495000;
Villa;4733;9;292;59;2904;E;2705;2495000;
Villa;7430;6;161;67;2390;C;1363;2495000;
Villa;6000;6;243;37;3071;D;13376;2495000;
Villa;3300;5;105;107;2263;E;676;2495000;
Villa;4930;7;238;148;1988;B;1138;2500000;
Villa;9240;15;188;97;1840;D;12370;2595000;
Rækkehus;5250;6;128;50;2258;D;503;2599000;
Rækkehus;2600;4;100;52;2776;C;133;2645000;
Villa;8600;5;182;48;2633;C;874;2645000;
Rækkehus;4130;4;99;0;2593;A15;225;2650000;
Villa;9300;4;110;52;1549;E;1106;665000;
Villa;4000;5;148;94;3987;B;773;4995000;
Villa;8800;6;214;121;2999;B;7939;2650000;
Villa;4600;6;174;61;3071;D;822;4995000;
Villa;8600;5;123;51;3043;D;546;2695000;
Villa;8620;3;137;61;1857;E;788;1075000;
Villa;2730;5;165;62;4211;B;934;5195000;
Villa;9600;6;219;25;2567;D;899;3198000;
Villa;6780;7;268;63;1771;F;1628;1095000;
Villa;7760;4;144;157;1255;G;1860;695000;
Villa;9670;5;193;85;1709;F;1037;1095000;
Villa;2630;7;170;121;4389;D;837;5295000;
Villa;8543;5;143;26;2305;D;771;3295000;
Rækkehus;3700;5;207;171;2204;D;263;2895000;
Villa;9560;3;115;146;997;D;1665;495000;
Villa;6800;2;102;106;1509;E;7215;795000;
Rækkehus;2750;4;96;32;3207;C;63;3295000;
Villa;4952;2;58;84;964;E;479;495000;
Villa;3000;5;173;285;3795;C;257;5495000;
Villa;6040;5;160;144;1970;G;924;795000;
Villa;2670;3;95;77;2857;G;743;3295000;
Villa;9430;5;146;56;2166;C;700;1695000;
Rækkehus;4400;3;97;104;2063;D;211;1095000;
Rækkehus;8660;4;110;96;2083;B;1;2895000;
Villa;9850;5;116;91;1491;D;1083;795000;
Villa;8230;5;223;50;3976;C;600;5498000;
Villa;8850;5;150;56;1981;C;775;1695000;
Villa;9620;4;144;93;1242;C;255;1100000;
Villa;6270;5;120;81;1647;D;1594;845000;
Villa;6000;7;343;103;5225;C;2848;5900000;
Villa;6000;3;94;140;1818;C;156;1695000;
Villa;8700;5;167;11;3067;B;1386;3575000;
Villa;8783;8;212;60;1958;F;897;845000;
Villa;8600;5;94;86;2672;D;1531;1145000;
Villa;4760;7;219;69;3214;E;1608;2995000;
Villa;9240;7;183;64;1650;F;3779;525000;
Villa;2880;8;207;61;5391;C;866;6995000;
Villa;6000;6;110;73;2173;D;546;1695000;
Villa;7840;5;172;12;2875;B;1632;3595000;
Villa;9330;7;229;56;1661;D;1037;525000;
Villa;9670;7;260;16;1471;C;3178;1695000;
Villa;9560;3;99;36;1463;C;457;849000;
Villa;3300;4;132;4;3430;A15;801;3595000;
Villa;6000;6;195;56;2770;E;1023;2995000;
Villa;5270;4;297;16;3748;C;1485;7995000;
Villa;9830;4;112;131;2492;D;11679;1150000;
Villa;6340;4;116;71;1155;G;1047;850000;
Villa;8700;4;100;58;1830;D;737;1745000;
Villa;4000;4;95;51;3055;D;923;2445000;
Villa;8230;6;172;111;4310;C;788;8150000;
Villa;8700;6;161;48;1931;D;646;1750000;
Villa;6070;4;90;73;1863;E;1195;850000;
Villa;6470;5;173;93;1452;E;891;595000;
Rækkehus;5610;6;158;71;1632;E;301;1195000;
Villa;7130;9;283;111;3097;D;24396;2995000;
Villa;6000;6;179;51;2207;D;653;1775000;
Villa;9560;7;96;76;1528;C;323;895000;
Villa;2680;4;189;20;6356;C;1652;9795000;
Villa;6052;4;147;161;1905;D;20981;2495000;
Villa;8860;5;169;44;2131;D;1044;1795000;
Rækkehus;9990;5;167;11;2394;B;163;3595000;
Villa;8850;3;90;194;1137;D;587;595000;
Villa;5700;5;120;54;1648;E;810;1195000;
Villa;4653;7;172;101;2147;B;690;2995000;
Villa;5492;4;101;67;1770;E;887;895000;
Villa;2000;5;156;76;7898;G;697;12800000;
Villa;8660;4;102;42;2584;C;859;2495000;
Villa;9440;6;155;45;1980;C;1044;1795000;
Villa;9430;5;190;5;2331;A15;891;3695000;
Villa;8620;4;147;101;1831;E;657;925000;
Villa;2950;9;255;66;12898;D;1908;13500000;
Villa;8620;4;94;69;1233;G;662;645000;
Villa;6300;5;177;43;2381;C;1319;1795000;
Villa;8940;4;102;66;1263;E;960;995000;
Rækkehus;3480;5;118;41;3421;C;155;2995000;
Villa;2900;5;135;131;5581;A20;396;13995000;
Villa;9352;4;145;83;1177;F;2760;650000;
Ejerlejlighed;9000;3;108;105;1660;D;273;2498000;
Villa;8300;5;138;93;2850;C;741;2995000;
Rækkehus;9280;3;81;33;1175;B;190;1245000;
Ejerlejlighed;7800;3;78;42;1817;D;3946;675000;
Villa;7100;6;196;44;2878;C;780;1895000;
Villa;2700;4;84;78;4868;E;431;3695000;
Villa;2920;6;266;3;10760;A15;1066;16995000;
Villa;9640;5;161;70;1573;F;637;995000;
Villa;7140;5;230;151;1893;D;1235;1245000;
Villa;8660;4;156;4;1427;A10;10000;2999000;
Villa;6740;6;159;66;2075;C;1349;1898000;
Villa;9520;4;127;43;1428;C;1049;1045000;
Villa;4700;5;151;16;3438;C;1960;3095000;
Villa;7100;5;171;98;1353;G;1105;695000;
Villa;9500;4;120;64;1161;D;414;725000;
Villa;8320;6;178;171;3953;E;1169;3775000;
Villalejlighed;2930;6;238;107;7445;E;1073;18250000;
Villa;6940;6;151;35;1643;C;599;1275000;
Villa;9210;6;175;45;3277;C;1257;2549000;
Villa;7000;6;167;118;2274;C;1382;1945000;
Villa;6000;5;119;74;2758;D;783;3195000;
Villa;6510;3;165;113;930;G;463;748000;
Villa;8000;10;337;109;11181;C;709;19500000;
Rækkehus;3550;4;128;22;2837;C;155;2595000;
Villa;8940;6;183;43;3008;C;1459;3195000;
Villa;5853;2;65;83;1347;D;1050;795000;
Villa;8471;7;217;57;2273;B;865;3795000;
Villa;8464;6;124;194;2005;E;454;2595000;
Rækkehus;8530;3;99;4;2272;A15;167;3095000;
Villa;9430;6;204;49;2588;C;889;3195000;
Villa;9670;5;110;121;1132;D;275;825000;
Villa;9800;4;112;121;1251;D;487;495000;
Villa;6430;6;305;29;2262;D;3475;1950000;
Villa;6470;5;169;20;2419;B;1110;2595000;
Rækkehus;8200;4;121;121;2308;C;126;3149000;
Villa;4520;4;93;63;1824;F;630;1050000;
Villa;7470;3;100;61;1163;F;1186;845000;
Villa;8400;5;130;94;1831;E;2037;1295000;
Villa;3320;4;133;49;3267;C;1285;2645000;
Villa;6520;10;190;107;2374;G;930;1095000;
Villa;6360;3;108;42;955;C;520;845000;
Villa;9280;6;159;56;1795;D;770;1295000;
Villa;6920;7;223;14;2279;B;1473;3175000;
Villa;6710;6;159;4;3023;A15;859;3798000;
Villa;9510;5;123;72;1351;F;800;845000;
Villa;8850;5;159;56;2229;C;900;1295000;
Villa;7441;7;285;95;2077;E;5516;1995000;
Villa;3700;4;116;60;1746;E;550;1095000;
Villa;8983;3;98;61;1421;C;1000;848000;
Villa;6091;5;147;13;2541;B;701;2645000;
Villa;8620;5;165;11;2140;B;935;3175000;
Villa;6200;4;168;88;2272;E;1001;3250000;
Villa;5690;9;262;145;2230;E;2190;1995000;
Villa;2860;4;104;55;3175;D;600;3885000;
Villa;6440;5;184;121;1528;G;334;945000;
Villa;4621;4;130;99;3157;E;1063;3195000;
Villa;9380;6;218;44;2219;A10;1006;1995000;
Villa;4295;4;121;70;2104;E;511;1295000;
Villa;5800;9;208;151;2115;G;1256;2645000;
Villa;8800;5;201;14;3298;B;855;3895000;
Villa;7330;6;177;22;2129;C;1726;3295000;
Villa;7500;7;170;27;1994;D;872;2095000;
Villa;9870;4;363;106;3233;F;3810;2650000;
Villa;3540;5;156;50;4064;D;964;3995000;
Villa;8410;3;121;48;1683;D;854;1095000;
Rækkehus;2750;3;93;29;3897;C;160;3299000;
Villa;4200;3;111;108;1395;E;365;985000;
Villa;9230;4;95;44;1664;D;313;1295000;
Villa;9310;4;124;15;1597;C;364;2095000;
Villa;7700;2;137;89;1571;D;365;1750000;
Villa;8783;5;155;72;1506;E;1000;1125000;
Villa;8600;4;155;53;3273;C;1139;2695000;
Villa;8700;4;92;88;1845;D;461;2175000;
Villa;4261;5;132;42;2022;C;915;1295000;
Villa;5882;11;425;11;3770;A10;2269;3395000;
Villa;9970;4;146;46;1785;D;746;995000;
Villa;5220;9;249;151;2280;C;2069;2695000;
Villa;2670;6;151;38;3578;D;750;3995000;
Villa;7800;7;181;42;2269;D;966;2195000;
Villa;4450;3;109;64;2087;F;1041;1145000;
Villa;9990;4;107;68;3082;C;514;3495000;
Villa;7500;4;84;96;1376;D;383;995000;
Villa;9600;4;141;74;1826;C;615;2195000;
Villa;8970;6;222;52;2550;E;7799;1345000;
Villa;8783;5;160;167;1945;C;2362;2695000;
Villa;6621;5;137;194;1586;E;3950;995000;
Villa;3400;4;177;38;3948;C;829;3995000;
Villa;9870;5;179;62;1775;E;2419;2195000;
Villa;7900;6;198;56;2102;C;1220;1195000;
Villa;9990;5;94;221;3697;D;515;3495000;
Villa;8723;4;107;55;1211;D;519;1045000;
Rækkehus;3400;5;140;6;3312;A10;216;3995000;
Villa;8543;8;188;32;1665;C;1274;2295000;
Villa;8700;4;100;85;1342;C;173;1195000;
Villa;4060;6;156;31;3466;C;1341;2795000;
Villa;2680;5;110;117;3277;D;900;3495000;
Villa;6100;4;114;68;1962;E;871;1345000;
Villa;6100;9;312;126;2607;C;606;1795000;
Villa;8310;5;158;49;3407;C;1118;3998000;
Villa;3000;4;103;95;3417;F;674;2795000;
Villa;7860;5;169;48;1642;D;981;1045000;
Villa;6920;4;117;47;1537;C;802;1395000;
Villa;8783;7;285;121;2452;C;4273;3595000;
Villa;7490;6;173;50;1742;D;807;1795000;
Ejerlejlighed;2820;3;70;83;2662;F;4400;2295000;
Villa;6000;3;72;46;1273;C;169;1195000;
Ejerlejlighed;8900;4;128;0;3098;A15;3092;3595000;
Villa;8700;6;144;65;2139;D;770;1825000;
Villa;4733;6;153;60;1762;D;510;1395000;
Ejerlejlighed;2100;2;50;86;2551;D;895;2795000;
Villa;8355;5;170;13;3009;B;730;4198000;
Villa;7400;4;147;48;1838;D;870;1845000;
Villa;9520;7;179;84;2356;D;6984;2345000;
Villa;8600;5;155;7;3676;A10;903;3595000;
Villa;5700;5;131;91;2144;D;727;1395000;
Villa;6700;3;88;71;1939;F;503;1848000;
Villa;8600;5;157;16;3885;B;952;3795000;
Villa;5700;6;298;143;3575;E;17500;2845000;
Villa;7323;4;125;41;1839;C;962;1395000;
Villa;4160;5;159;71;2243;C;985;1865000;
Villa;9210;6;152;11;3474;B;794;4198000;
Villa;8783;4;142;114;1735;D;1030;1895000;
Ejerlejlighed;2200;3;74;87;3285;D;493;4250000;
Villa;6780;5;170;52;1734;C;703;1398000;
Villa;3650;6;175;53;3823;D;700;3845000;
Villa;2650;5;163;56;3844;D;400;4398000;
Villa;5260;4;166;48;1208;D;765;2995000;
Villa;8981;7;180;32;2580;D;948;1895000;
Villa;9330;5;185;36;1919;D;875;1398000;
Villa;2660;4;111;21;2624;B;366;3850000;
Villa;8870;4;132;45;2704;D;1073;1895000;
Rækkehus;2765;4;142;51;2748;B;400;3895000;
Villa;8850;6;179;9;2540;A1;1126;2995000;
Villa;2650;4;120;41;4308;C;733;4695000;
Villa;4270;5;146;59;2913;D;1399;1898000;
Villa;8320;7;190;14;3351;B;990;4748000;
Rækkehus;8850;4;120;0;2549;A20;301;1945000;
Villa;8850;5;147;71;1838;D;758;1450000;
Villa;8930;5;145;3;2884;A15;898;2995000;
Villa;2610;4;107;53;3242;E;650;4795000;
Villa;2630;4;136;50;3459;C;714;3995000;
Rækkehus;3700;5;150;152;2018;D;225;1950000;
Villa;2770;4;129;51;3986;D;778;4795000;
Villa;5210;5;138;53;2024;D;760;1975000;
Villalejlighed;2860;3;103;85;2845;D;866;4875000;
Villa;8983;4;152;22;1479;C;931;1475000;
Villa;4684;8;188;35;2829;A10;840;3175000;
Villa;9550;3;123;21;2343;C;700;1995000;
Villa;2860;3;86;84;3796;D;730;4950000;
Villa;6990;5;164;8;1488;A15;785;1485000;
Villa;4913;11;530;131;3379;D;12418;3995000;
Villa;4050;4;134;47;2850;E;845;1995000;
Villa;3400;6;156;82;3873;D;816;4995000;
Villa;2630;5;132;49;4010;C;804;3995000;
Villa;5500;4;150;95;2869;C;866;4995000;
Villa;4532;4;130;13;2086;B;315;1995000;
Villa;6715;4;109;59;2226;C;773;1525000;
Villa;4621;8;227;136;4440;C;908;4195000;
Villa;7500;5;181;53;2244;C;794;1595000;
Villa;3540;7;205;59;4127;D;809;4250000;
Villa;8210;5;167;16;2907;B;941;4995000;
Villa;4400;6;192;87;3059;E;24000;1595000;
Villa;7500;4;216;51;2238;C;1455;2135000;
Villa;8471;5;164;15;2866;C;874;4298000;
Villa;4070;5;123;53;2461;D;962;2150000;
Villa;4000;7;213;50;4524;C;972;4300000;
Villa;7500;2;56;84;1589;D;316;1685000;
Villa;4000;4;140;98;3429;C;2824;4495000;
Villa;7451;7;169;43;2003;C;874;1695000;
Villa;2840;4;139;51;6127;E;1344;4495000;
Villa;6100;5;195;44;2393;C;1110;2195000;
Villa;8981;6;168;102;1559;D;690;1695000;
Villa;4683;4;210;47;2548;D;864;2195000;
Villa;5700;5;259;13;2318;C;8714;4500000;
Villa;8550;6;219;48;2372;C;900;2195000;
Rækkehus;8000;3;82;40;2484;B;75;4500000;
Villa;6640;10;424;129;3303;A10;40000;4895000;
Villa;6715;5;135;57;2135;C;947;2198000;
Rækkehus;8270;4;124;20;3951;A10;21983;4595000;
Rækkehus;4000;6;148;6;3835;A10;160;4995000;
Villa;5620;6;173;24;2116;A10;851;2245000;
Villa;2990;6;165;93;4432;E;1045;4995000;
Villa;3400;5;122;75;3897;C;843;4795000;
Villa;6040;6;158;63;1923;C;681;2245000;
Villalejlighed;2300;3;59;86;2900;C;547;4995000;
Villa;3220;4;163;76;3614;D;845;4795000;
Villa;3450;6;164;21;4650;C;825;5250000;
Villa;6800;6;224;41;2854;B;917;2285000;
Villa;8300;5;180;8;3586;A10;706;5495000;
Villa;4420;7;212;42;2373;C;790;2295000;
Villalejlighed;2870;3;89;88;2977;C;945;5495000;
Villa;2610;5;173;51;4941;D;892;5750000;
Villa;5642;4;199;49;4779;D;2087;5995000;
Villa;2791;3;84;95;3566;E;400;5995000;
Villa;2670;5;169;0;4281;A15;400;6095000;
Villa;2800;5;125;67;5065;G;772;6250000;
Villa;2670;5;169;0;4281;A15;400;6395000;
Villa;2880;6;175;111;5791;D;830;6995000;
Villa;2680;8;199;31;5553;C;849;7250000;
Villa;2720;5;165;95;7026;C;854;7495000;
Villa;3500;6;232;60;6131;D;1214;8750000;
Villa;4000;7;212;103;4979;D;661;13300000;
Villa;2920;4;164;64;8024;C;936;13495000;
Villa;2500;10;491;92;17322;E;2032;16000000;
Villa;2900;6;250;103;11422;D;1186;17995000;
Villa;2000;13;386;104;14123;D;711;32000000;
Villalejlighed;5230;3;87;83;2383;D;582;2175000;
Villa;5270;5;185;67;2173;C;788;2195000;
Rækkehus;4550;2;72;33;1548;D;221;995000;
Villa;2840;15;360;102;43615;F;6708;45000000;
Villa;4863;5;119;72;1448;D;609;995000;
Villa;8444;4;125;111;1253;C;953;295000;
Rækkehus;5220;4;102;58;1931;D;252;2195000;
Villa;9900;4;116;66;1690;D;778;1045000;
Villa;8960;4;113;121;1285;F;403;1095000;
Villa;4791;7;273;150;2324;G;2085;1095000;
Villa;8850;5;153;144;1219;G;816;445000;
Villa;4050;4;140;101;2444;D;309;2295000;
Villa;5642;5;151;121;1370;D;625;1095000;
Villa;6040;6;180;61;2944;D;3212;2295000;
Villa;3700;4;131;78;2181;D;951;1095000;
Villa;4390;6;160;48;3309;E;756;2395000;
Villa;9300;4;151;81;1406;C;740;1098000;
Villa;4070;6;200;49;3105;C;788;2450000;
Villa;6400;3;80;66;1664;E;400;1145000;
Villa;4560;9;240;144;2627;C;3022;2495000;
Villa;6640;5;130;145;1621;C;1803;1150000;
Villa;8600;4;187;41;2150;C;1045;2495000;
Rækkehus;7000;6;131;109;1343;B;150;2495000;
Villa;8653;6;164;18;1950;C;624;2495000;
Villa;8370;4;120;68;1803;F;1188;1198000;
Villa;7323;5;192;91;1886;C;336;2495000;
Villa;9640;6;171;39;1253;C;791;1245000;
Villa;6710;4;94;60;1790;E;702;1548000;
Rækkehus;7500;4;87;41;1845;F;255;1250000;
Villa;9300;5;139;56;1781;E;731;1575000;
Villa;7441;4;98;34;1415;C;437;1275000;
Villa;4300;3;83;69;2532;C;689;2495000;
Villa;9310;4;157;58;1887;E;760;1595000;
Villa;8660;4;100;145;2062;E;670;1295000;
Villa;4200;5;143;119;2321;C;707;2495000;
Villa;8500;6;155;116;1245;F;374;1350000;
Villa;8620;5;160;48;1769;C;1246;1350000;
Rækkehus;7000;5;117;45;1976;B;226;1375000;
Villa;9541;4;137;95;1677;E;12090;2595000;
Villa;6823;5;140;47;1546;D;826;1395000;
Villa;8722;5;161;25;2514;C;814;2595000;
Villa;7620;8;279;117;1650;C;879;1395000;
Villa;6560;9;278;179;2084;C;1374;1595000;
Rækkehus;8210;4;77;61;2237;B;221;2598000;
Villa;4130;5;126;86;2941;A15;850;2995000;
Villa;8500;4;130;46;1821;B;1287;1598000;
Villa;4220;3;96;52;2161;D;810;1450000;
Rækkehus;9380;4;102;40;1431;B;982;1598000;
Villa;4690;4;170;109;2001;C;1077;1475000;
Villa;7500;6;135;82;2253;D;49300;2695000;
Villa;8900;6;161;102;2551;D;663;1695000;
Rækkehus;8541;4;182;271;2847;B;455;3198000;
Villa;7870;4;161;13;2217;B;82788;2795000;
Rækkehus;8520;4;138;21;2400;C;341;3199000;
Villa;6580;6;183;42;2511;D;1026;1695000;
Villa;3700;5;153;43;1763;C;823;1495000;
Villa;4900;14;431;47;4659;B;18446;2795000;
Rækkehus;4040;3;113;-1;3750;A15;270;3295000;
Villa;6710;6;194;54;2624;C;829;2948000;
Villa;9320;4;146;59;1640;C;520;1498000;
Rækkehus;9200;4;139;2;2310;A15;164;3398000;
Villa;9280;7;218;13;2969;A10;861;2995000;
Villa;4000;3;120;63;3601;D;717;2995000;
Villa;8400;3;108;14;1805;B;488;1895000;
Rækkehus;8520;5;172;36;3058;A10;384;3495000;
Villa;7620;5;189;10;2241;A10;1046;2995000;
Villa;8883;6;180;47;2280;D;890;1695000;
Villa;6830;10;332;216;5594;D;6640;1895000;
Villa;8520;4;135;151;1598;D;1324;2995000;
Villa;8500;4;134;37;1979;C;704;1695000;
Villalejlighed;2770;2;74;87;2255;C;677;3495000;
Villa;3460;5;160;51;4948;D;807;7695000;
Villa;8620;6;183;44;2600;C;1120;1895000;
Villa;4840;5;177;83;2051;D;1107;1695000;
Villa;4771;6;127;16;2505;B;828;1950000;
Villa;6710;5;216;2;2694;A15;720;8098000;
Villa;5250;2;73;66;2076;F;788;1699000;
Villa;8305;6;341;94;2448;G;2841;1995000;
Villa;8500;4;105;70;1828;B;789;995000;
Villa;4681;5;148;73;3907;E;1099;3595000;
Ejerlejlighed;2100;4;130;17;5673;B;411;9495000;
Villa;4450;6;170;94;2130;C;948;1745000;
Villa;9940;3;98;60;1212;E;1221;995000;
Villa;8450;4;100;14;1752;C;669;1745000;
Rækkehus;9200;4;105;56;1610;C;337;2075000;
Villa;4673;6;214;10;2948;A10;1046;3750000;
Villa;4681;5;147;121;2163;C;327;2995000;
Villa;2830;8;271;82;8405;D;907;9995000;
Villa;7560;6;198;44;2169;C;1199;1795000;
Rækkehus;9200;4;106;240;1669;C;581;2099000;
Villa;8500;4;129;44;1600;C;846;995000;
Villa;2650;3;85;62;4000;E;666;3795000;
Villa;8700;7;248;61;5717;D;1497;9998000;
Villa;6400;7;173;91;2598;E;339;3095000;
Villa;9632;6;172;116;1660;D;2648;998000;
Villa;4773;5;190;48;2239;C;813;1795000;
Villa;2960;6;245;84;13577;E;1900;14500000;
Villa;6710;4;131;42;1994;B;723;2145000;
Villa;8500;6;194;10;2353;A20;4425;3195000;
Villa;6800;5;255;107;1884;D;3323;3825000;
Villa;4300;6;158;138;2117;D;1180;2195000;
Villa;8930;6;217;12;2208;B;1201;3195000;
Villa;4900;3;122;80;1159;E;661;450000;
Villa;7960;6;140;96;1050;E;1973;1095000;
Villa;4760;7;220;102;3014;C;912;2195000;
Villa;6000;6;153;67;2469;C;909;3195000;
Villa;8800;5;174;16;2251;C;1800;1800000;
Villa;7900;4;124;130;1158;E;2427;1145000;
Villa;7870;5;202;43;1743;E;1296;2195000;
Villa;7860;4;124;69;1229;E;1359;495000;
Villa;7130;7;224;50;2288;C;1371;1835000;
Villa;3700;5;161;19;2700;C;2237;3875000;
Villa;3400;5;110;53;2226;C;800;3195000;
Villa;7500;5;153;70;2124;E;556;1895000;
Villa;9750;4;130;62;1380;F;788;495000;
Villa;7100;5;124;144;2008;G;3929;1195000;
Villa;8870;6;197;2;3072;A15;1193;3895000;
Villa;8450;4;150;48;2311;C;1024;1895000;
Villa;4800;6;239;47;2933;D;931;3250000;
Villa;4490;5;125;67;1714;E;831;500000;
Villa;6700;6;176;66;2258;D;704;2275000;
Villa;5580;4;91;126;1588;D;1185;1195000;
Villa;8700;7;164;61;2285;D;669;3295000;
Villa;8940;4;130;61;2205;C;735;1895000;
Villa;6851;4;132;87;2367;D;24458;1895000;
Villa;8960;5;180;6;2900;A10;913;3895000;
Villa;7800;6;131;104;1607;D;225;1195000;
Villa;8700;5;279;14;3731;B;1116;3995000;
Villa;4600;5;296;47;3204;C;816;3495000;
Villa;7741;3;158;63;1021;D;1087;525000;
Villa;7300;7;133;221;1253;E;927;1195000;
Villa;7490;4;139;26;2151;C;2424;1945000;
Villa;8800;5;149;53;3488;C;900;2295000;
Villa;8240;4;91;60;2867;C;920;4048000;
Villa;6270;6;239;109;1986;E;1096;1245000;
Villa;7790;4;160;124;1258;E;451;545000;
Ejerlejlighed;5000;4;114;118;2499;D;670;3495000;
Villa;8600;5;174;-1;4764;A20;692;4195000;
Villa;7000;6;136;84;2090;D;383;1948000;
Villa;8620;4;184;47;2356;D;990;2350000;
Rækkehus;3500;3;112;-1;4291;A15;206;4198000;
Villa;7500;6;180;52;1392;E;2807;1975000;
Villa;4281;4;151;116;2138;A10;946;1295000;
Villa;3070;4;130;17;4262;A10;173;3595000;
Villa;9240;10;342;54;2689;C;1251;4200000;
Villa;7100;5;136;50;3218;E;1025;2395000;
Rækkehus;2800;4;136;5;4365;A20;351;6995000;
Villa;8963;4;164;35;2018;C;842;1985000;
Villa;4400;4;145;59;2499;D;788;1295000;
Rækkehus;8260;4;125;5;2483;A10;143;3598000;
Villa;2630;6;184;94;3404;C;858;4250000;
Villa;4070;8;206;144;2765;D;652;2395000;
Villa;6000;5;143;120;2293;D;1034;1985000;
Villa;9870;6;159;57;1288;D;711;695000;
Villa;4600;4;126;68;2708;C;867;3695000;
Villa;2960;6;195;69;6566;E;1019;10750000;
Villa;6000;4;120;65;2223;E;730;1995000;
Villa;4780;4;119;97;1728;E;1014;795000;
Villa;6650;6;216;53;1636;E;5077;1345000;
Villa;7884;5;147;60;1757;C;1498;1995000;
Villa;2650;5;128;62;4239;D;860;4475000;
Villa;4070;5;140;18;2841;D;833;3795000;
Villa;6100;6;158;24;2641;C;1060;2395000;
Villa;4720;5;149;121;2196;E;1091;1995000;
Villa;2680;4;177;45;3830;C;851;3895000;
Villa;2680;4;157;68;3608;C;788;4475000;
Villa;4300;8;405;3;3306;A15;2000;4495000;
Villa;9870;6;170;50;1393;D;1197;845000;
Villa;8300;9;301;121;2756;C;1945;2450000;
Villa;6851;4;212;186;1784;C;3498;1348000;
Villa;7260;4;103;81;1182;F;2286;398000;
Villa;8300;5;132;81;2374;D;837;1995000;
Villa;6630;5;124;52;1128;F;865;845000;
Villa;6760;6;280;2;2980;A20;2534;4498000;
Rækkehus;2660;4;153;47;3022;D;621;3975000;
Villa;4900;9;320;91;2771;F;2095;2495000;
Villa;7950;4;159;46;1288;E;1652;535000;
Villa;4281;5;150;53;1935;F;1010;1395000;
Villa;8541;6;185;54;2982;D;817;3999000;
Villa;5220;5;150;49;1930;D;806;2595000;
Villa;2690;5;160;56;3017;C;581;4550000;
Villa;4470;5;125;107;1565;F;1097;850000;
Villa;5300;4;175;14;3087;A10;953;4495000;
Villa;7100;5;147;97;2777;D;1010;2595000;
Villa;8500;5;120;57;1825;D;702;1398000;
Villa;7900;7;150;121;1106;G;1327;545000;
Villa;3230;4;133;194;2680;C;802;1999000;
Villa;7480;6;160;57;1521;D;661;1475000;
Villa;7470;5;139;50;1538;E;795;1095000;
Villa;8960;4;172;137;1879;C;185;2095000;
Villa;8620;6;260;117;2231;C;48513;2645000;
Rækkehus;8410;4;110;0;4052;A15;205;2498000;
Rækkehus;4000;4;129;1;3673;A15;131;4745000;
Villa;2610;4;132;82;4728;F;752;4495000;
Villa;4250;3;130;88;1817;C;893;1495000;
